Brand,TAC,SPECS
POCO,86240308,"POCO X7, Xiaomi 24095PCADG, Global Model, 2025"
POCO,86806408,"POCO M7 PLUS 5G, Xiaomi 25057PC09I, India Model, 2025"
POCO,86917108,"POCO M7 PLUS 5G, Xiaomi 25057PC09I, India Model, 2025"
POCO,86524908,"POCO M7 4G, Xiaomi 25062PC34G, Global Model, 2025"
POCO,86801008,"POCO M7 4G, Xiaomi 25062PC34E2025"
POCO,86910608,"POCO M7 4G, Xiaomi 25062PC34G, Global Model, 2025"
POCO,86760207,"POCO F7, Xiaomi 25053PC47G, Global Model, 2025"
POCO,86142108,"POCO C85 5G, Xiaomi 2508CPC2BI, India Model, 2025"
POCO,86074908,"POCO C85, Xiaomi 25078PC3EG, Global Model, 2025"
POCO,86126008,"POCO C85, Xiaomi 25078PC3EG, Global Model, 2025"
POCO,86220408,"POCO C85, Xiaomi 25078PC3EG, Global Model, 2025"
POCO,86428008,"POCO C85, Xiaomi 25078PC3EG, Global Model, 2025"
POCO,86596708,"POCO C85, Xiaomi 25078PC3EE2025"
POCO,86883808,"POCO C85, Xiaomi 25078PC3EG, Global Model, 2025"
POCO,86125408,"POCO C71, Xiaomi 25028PC03G, Global Model, 2025"
POCO,86347508,"POCO C71, Xiaomi 25028PC03I, India Model, 2025"
POCO,86363508,"POCO C71, Xiaomi 25028PC03I, India Model, 2025"
POCO,86798708,"POCO C71, Xiaomi 25028PC03I, India Model, 2025"
POCO,86430407,"POCO C71, Xiaomi 25028PC03G2025"
POCO,86273807,"POCO C71, Xiaomi 25028PC03G2025"
POCO,86124407,"POCO C71, Xiaomi 25028PC03G2025"
XIAOMI,86956807,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86927306,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48I, India Model, 2024"
XIAOMI,86898307,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86870806,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86758007,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86630707,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86612906,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48I, India Model, 2024"
XIAOMI,86586607,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48I, India Model, 2024"
XIAOMI,86531407,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86473906,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
XIAOMI,86467607,"XIAOMI POCO X6 PRO 5G, Xiaomi 2311DRK48G, Global Model, 2024"
